,SN1OH01,HBr,HBr_dil_x_10,SN1OH01_dil_x_100,HBr_dil_x_10000,DMF
0,0,0,0,24.93686653,30,445.0631335
1,0,0,41.69541667,24.93686653,0,433.3677168
2,0,0,83.36083333,24.93686653,0,391.7023001
3,0,12.502625,0,24.93686653,0,462.5605085
4,0,16.66916667,0,24.93686653,0,458.3939668
5,0,20.83570833,0,24.93686653,0,454.2274251
6,0,25.00225,0,24.93686653,0,450.0608835
7,0,29.16879167,0,24.93686653,0,445.8943418
8,0,33.33533333,0,24.93686653,0,441.7278001
9,0,37.501875,0,24.93686653,0,437.5612585
10,0,41.66841667,0,24.93686653,0,433.3947168
11,0,45.83495833,0,24.93686653,0,429.2281751
12,0,50.0015,0,24.93686653,0,425.0616335
13,0,54.16804167,0,24.93686653,0,420.8950918
14,0,58.33458333,0,24.93686653,0,416.7285501
15,0,62.501125,0,24.93686653,0,412.5620085
16,0,66.66766667,0,24.93686653,0,408.3954668
17,0,70.83420833,0,24.93686653,0,404.2289251
18,0,75.00075,0,24.93686653,0,400.0623835
19,0,79.16729167,0,24.93686653,0,395.8958418
20,0,83.33383333,0,24.93686653,0,391.7293001
21,0,87.500375,0,24.93686653,0,387.5627585
22,0,91.66691667,0,24.93686653,0,383.3962168
23,0,95.83345833,0,24.93686653,0,379.2296751
24,0,100,0,24.93686653,0,375.0631335
25,95.1870265,0,0,0,30,374.8129735
26,95.1870265,0,41.69541667,0,0,363.1175568
27,95.1870265,0,83.36083333,0,0,321.4521402
28,95.1870265,12.502625,0,0,0,392.3103485
29,95.1870265,16.66916667,0,0,0,388.1438068
30,95.1870265,20.83570833,0,0,0,383.9772652
31,95.1870265,25.00225,0,0,0,379.8107235
32,95.1870265,29.16879167,0,0,0,375.6441818
33,95.1870265,33.33533333,0,0,0,371.4776402
34,95.1870265,37.501875,0,0,0,367.3110985
35,95.1870265,41.66841667,0,0,0,363.1445568
36,95.1870265,45.83495833,0,0,0,358.9780152
37,95.1870265,50.0015,0,0,0,354.8114735
38,95.1870265,54.16804167,0,0,0,350.6449318
39,95.1870265,58.33458333,0,0,0,346.4783902
40,95.1870265,62.501125,0,0,0,342.3118485
41,95.1870265,66.66766667,0,0,0,338.1453068
42,95.1870265,70.83420833,0,0,0,333.9787652
43,95.1870265,75.00075,0,0,0,329.8122235
44,95.1870265,79.16729167,0,0,0,325.6456818
45,95.1870265,83.33383333,0,0,0,321.4791402
46,95.1870265,87.500375,0,0,0,317.3125985
47,95.1870265,91.66691667,0,0,0,313.1460568
48,95.1870265,95.83345833,0,0,0,308.9795152
49,95.1870265,100,0,0,0,304.8129735
50,190.1246843,0,0,0,30,279.8753157
51,190.1246843,0,41.69541667,0,0,268.179899
52,190.1246843,0,83.36083333,0,0,226.5144823
53,190.1246843,12.502625,0,0,0,297.3726907
54,190.1246843,16.66916667,0,0,0,293.206149
55,190.1246843,20.83570833,0,0,0,289.0396073
56,190.1246843,25.00225,0,0,0,284.8730657
57,190.1246843,29.16879167,0,0,0,280.706524
58,190.1246843,33.33533333,0,0,0,276.5399823
59,190.1246843,37.501875,0,0,0,272.3734407
60,190.1246843,41.66841667,0,0,0,268.206899
61,190.1246843,45.83495833,0,0,0,264.0403573
62,190.1246843,50.0015,0,0,0,259.8738157
63,190.1246843,54.16804167,0,0,0,255.707274
64,190.1246843,58.33458333,0,0,0,251.5407323
65,190.1246843,62.501125,0,0,0,247.3741907
66,190.1246843,66.66766667,0,0,0,243.207649
67,190.1246843,70.83420833,0,0,0,239.0411073
68,190.1246843,75.00075,0,0,0,234.8745657
69,190.1246843,79.16729167,0,0,0,230.708024
70,190.1246843,83.33383333,0,0,0,226.5414823
