,ald001,am001,ic001,ptsa,ptsa_dil_x_10,DMF
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
89,20,17.5862069,50,40,0,72.4137931
90,20,18.20689655,20,0,16,125.7931034
91,20,18.20689655,20,20.8,0,120.9931034
92,20,18.20689655,20,40,0,101.7931034
93,20,18.20689655,35,0,16,110.7931034
94,20,18.20689655,35,20.8,0,105.9931034
95,20,18.20689655,35,40,0,86.79310345
96,20,18.20689655,50,0,16,95.79310345
97,20,18.20689655,50,20.8,0,90.99310345
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
98,20,18.20689655,50,40,0,71.79310345
99,20,18.82758621,20,0,16,125.1724138
100,20,18.82758621,20,20.8,0,120.3724138
101,20,18.82758621,20,40,0,101.1724138
102,20,18.82758621,35,0,16,110.1724138
103,20,18.82758621,35,20.8,0,105.3724138
104,20,18.82758621,35,40,0,86.17241379
105,20,18.82758621,50,0,16,95.17241379
106,20,18.82758621,50,20.8,0,90.37241379
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
107,20,18.82758621,50,40,0,71.17241379
108,20,19.44827586,20,0,16,124.5517241
109,20,19.44827586,20,20.8,0,119.7517241
110,20,19.44827586,20,40,0,100.5517241
111,20,19.44827586,35,0,16,109.5517241
112,20,19.44827586,35,20.8,0,104.7517241
113,20,19.44827586,35,40,0,85.55172414
114,20,19.44827586,50,0,16,94.55172414
115,20,19.44827586,50,20.8,0,89.75172414
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
116,20,19.44827586,50,40,0,70.55172414
117,20,20.06896552,20,0,16,123.9310345
118,20,20.06896552,20,20.8,0,119.1310345
119,20,20.06896552,20,40,0,99.93103448
120,20,20.06896552,35,0,16,108.9310345
121,20,20.06896552,35,20.8,0,104.1310345
122,20,20.06896552,35,40,0,84.93103448
123,20,20.06896552,50,0,16,93.93103448
124,20,20.06896552,50,20.8,0,89.13103448
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
125,20,20.06896552,50,40,0,69.93103448
126,20,20.68965517,20,0,16,123.3103448
127,20,20.68965517,20,20.8,0,118.5103448
128,20,20.68965517,20,40,0,99.31034483
129,20,20.68965517,35,0,16,108.3103448
130,20,20.68965517,35,20.8,0,103.5103448
131,20,20.68965517,35,40,0,84.31034483
132,20,20.68965517,50,0,16,93.31034483
133,20,20.68965517,50,20.8,0,88.51034483
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
134,20,20.68965517,50,40,0,69.31034483
135,20,21.31034483,20,0,16,122.6896552
136,20,21.31034483,20,20.8,0,117.8896552
137,20,21.31034483,20,40,0,98.68965517
138,20,21.31034483,35,0,16,107.6896552
139,20,21.31034483,35,20.8,0,102.8896552
140,20,21.31034483,35,40,0,83.68965517
141,20,21.31034483,50,0,16,92.68965517
142,20,21.31034483,50,20.8,0,87.88965517
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
143,20,21.31034483,50,40,0,68.68965517
144,20,21.93103448,20,0,16,122.0689655
145,20,21.93103448,20,20.8,0,117.2689655
146,20,21.93103448,20,40,0,98.06896552
147,20,21.93103448,35,0,16,107.0689655
148,20,21.93103448,35,20.8,0,102.2689655
149,20,21.93103448,35,40,0,83.06896552
150,20,21.93103448,50,0,16,92.06896552
151,20,21.93103448,50,20.8,0,87.26896552
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
152,20,21.93103448,50,40,0,68.06896552
153,20,22.55172414,20,0,16,121.4482759
154,20,22.55172414,20,20.8,0,116.6482759
155,20,22.55172414,20,40,0,97.44827586
156,20,22.55172414,35,0,16,106.4482759
157,20,22.55172414,35,20.8,0,101.6482759
158,20,22.55172414,35,40,0,82.44827586
159,20,22.55172414,50,0,16,91.44827586
160,20,22.55172414,50,20.8,0,86.64827586
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
161,20,22.55172414,50,40,0,67.44827586
162,20,23.17241379,20,0,16,120.8275862
163,20,23.17241379,20,20.8,0,116.0275862
164,20,23.17241379,20,40,0,96.82758621
165,20,23.17241379,35,0,16,105.8275862
166,20,23.17241379,35,20.8,0,101.0275862
167,20,23.17241379,35,40,0,81.82758621
168,20,23.17241379,50,0,16,90.82758621
169,20,23.17241379,50,20.8,0,86.02758621
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
170,20,23.17241379,50,40,0,66.82758621
171,20,23.79310345,20,0,16,120.2068966
172,20,23.79310345,20,20.8,0,115.4068966
173,20,23.79310345,20,40,0,96.20689655
174,20,23.79310345,35,0,16,105.2068966
175,20,23.79310345,35,20.8,0,100.4068966
176,20,23.79310345,35,40,0,81.20689655
177,20,23.79310345,50,0,16,90.20689655
178,20,23.79310345,50,20.8,0,85.40689655
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
179,20,23.79310345,50,40,0,66.20689655
180,20,24.4137931,20,0,16,119.5862069
181,20,24.4137931,20,20.8,0,114.7862069
182,20,24.4137931,20,40,0,95.5862069
183,20,24.4137931,35,0,16,104.5862069
184,20,24.4137931,35,20.8,0,99.7862069
185,20,24.4137931,35,40,0,80.5862069
186,20,24.4137931,50,0,16,89.5862069
187,20,24.4137931,50,20.8,0,84.7862069
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
