,shortname,fullname,date_source,solvent,concentration,bottle_id,plate_id,DMF,IIO029A,IIO029B,ald001,ic001
27,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,0.11199999999999999,27,0,111.11111111111114,0.0,0.0,388.88888888888886,0.0
28,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,0.1056,28,0,133.33333333333331,0.0,0.0,366.6666666666667,0.0
29,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,0.0992,29,0,155.55555555555554,0.0,0.0,344.44444444444446,0.0
30,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,0.0928,30,0,177.77777777777777,0.0,0.0,322.22222222222223,0.0
31,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,0.08639999999999999,31,0,200.0,0.0,0.0,300.0,0.0
32,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,0.0576,32,0,300.0,0.0,0.0,200.00000000000003,0.0
33,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,0.003628572623697235,33,0,487.4007895010513,0.0,0.0,12.599210498948732,0.0
34,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,0.00022858575148342088,34,0,499.2062994740159,0.0,0.0,0.7937005259841003,0.0
35,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,1.44e-05,35,0,499.95,0.0,0.0,0.05,0.0
36,ald001,4-nitrobenzaldehyde,01112023Sigma,DMF,0.0,36,0,500.0,0.0,0.0,0.0,0.0
37,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.144,37,0,-5.684341886080802e-14,0.0,0.0,0.0,500.00000000000006
38,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.1376,38,0,22.22222222222223,0.0,0.0,0.0,477.77777777777777
39,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.13119999999999998,39,0,44.44444444444446,0.0,0.0,0.0,455.55555555555554
40,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.1248,40,0,66.66666666666663,0.0,0.0,0.0,433.33333333333337
41,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.11839999999999999,41,0,88.88888888888891,0.0,0.0,0.0,411.1111111111111
42,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.11199999999999999,42,0,111.11111111111114,0.0,0.0,0.0,388.88888888888886
43,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.1056,43,0,133.33333333333331,0.0,0.0,0.0,366.6666666666667
44,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.0992,44,0,155.55555555555554,0.0,0.0,0.0,344.44444444444446
45,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.0928,45,0,177.77777777777777,0.0,0.0,0.0,322.22222222222223
46,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.08639999999999999,46,0,200.0,0.0,0.0,0.0,300.0
47,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.0576,47,0,300.0,0.0,0.0,0.0,200.00000000000003
48,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.003628572623697235,48,0,487.4007895010513,0.0,0.0,0.0,12.599210498948732
49,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.00022858575148342088,49,0,499.2062994740159,0.0,0.0,0.0,0.7937005259841003
50,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,1.44e-05,50,0,499.95,0.0,0.0,0.0,0.05
51,ic001,1-((isocyanomethyl)sulfonyl)-4-methylbenzene,01112023Sigma,DMF,0.0,51,0,500.0,0.0,0.0,0.0,0.0
