substance, container, volume, solvent, density
Substance_A plate_4_container0 4.5ml ethanol_empty 0.789
Substance_B plate_4_container1 4.5ml ethanol_empty 0.789
Substance_C plate_4_container2 4.5ml ethanol_empty 0.789
Substance_D plate_4_container3 4.5ml ethanol_empty 0.789
Substance_E plate_4_container4 9ml ethanol_empty 0.789
Substance_F plate_4_container5 18ml water_empty 1.0
